8	salinity	744	752	82	e during the hot-dry season and one during the cold-wet _NEW_LINE_              season. if the receiving water salinity is less than 1,000 mg/l then _NEW_LINE_              freshwater testing organisms shall be used. if the instre
8	salinity	2182	2190	82	eshwater organisms, (epa/600/4- _NEW_LINE_              89/001) or most recent edition. if the receiving water salinity is greater _NEW_LINE_              than or equal to 1,000 mg/l, then saltwater organisms shall be used. if the
8	salinity	2737	2745	82	       iwc at low flow is greater than or equal to one percent and the receiving _NEW_LINE_              water salinity is greater than or equal to 1,000 mg/l, the permittee shall _NEW_LINE_              perform short-term chronic
3	nh3	991	994	100	table attached) _NEW_LINE_  _NEW_LINE_ 2.     cbodu = 2.0 mg/l _NEW_LINE_  _NEW_LINE_ 3.     cbod5 = 1.33 mg/l _NEW_LINE_  _NEW_LINE_ 4.     nbodu = 0.5 mg/l _NEW_LINE_  _NEW_LINE_ 5.     nh3-n = 0.10 mg/l _NEW_LINE_  _NEW_LINE_ k.     photosynthesis / respiration _NEW_LINE_  _NEW_LINE_ 1.     input values for p and r (mg/l/day) can 
8	chlorine	2222	2230	102	luent chlorine concentration in ug/l _NEW_LINE_ qe     = daily average effluent flow in cfs _NEW_LINE_ ch     = headwater chlorine concentration (usually 0.0 ug/l) _NEW_LINE_ qh     = headwater flow (7q10) in cfs _NEW_LINE_ ct     = chlorine standard i
2	ph	1622	1624	103	am waste _NEW_LINE_ concentration) must be known and the warm water target values used. stream temperature and _NEW_LINE_ ph after mixing must also be known or assumed. for empirical modeling a ph of 7.0 and a _NEW_LINE_ stream tempera
2	ph	1694	1696	103	sed. stream temperature and _NEW_LINE_ ph after mixing must also be known or assumed. for empirical modeling a ph of 7.0 and a _NEW_LINE_ stream temperature of 25oc are assumed limitations. once this information is known, al
7	ammonia	2154	2161	103	e effluent nh3 concentration in mg/l _NEW_LINE_ qe     = daily average effluent flow in cfs _NEW_LINE_ ch     = headwater ammonia concentration of 0.1 mg/l _NEW_LINE_ qh     = headwater flow (7q10) in cfs _NEW_LINE_ ct     = ammonia criteria in mg/l (
7	ammonia	2235	2242	103	ch     = headwater ammonia concentration of 0.1 mg/l _NEW_LINE_ qh     = headwater flow (7q10) in cfs _NEW_LINE_ ct     = ammonia criteria in mg/l (after mixing) _NEW_LINE_ qt     = total stream flow in cfs (after mixing) _NEW_LINE_  _NEW_LINE_                  
8	salinity	1947	1955	109	ing, dilution water _NEW_LINE_ shall consist of synthetic seawater or hyper-saline brine combined to achieve a salinity of 20 _NEW_LINE_ parts per thousand according to short-term methods for estimating the chronic toxicity of _NEW_LINE_ eff
8	salinity	263	271	112	ing, dilution water shall _NEW_LINE_ consist of synthetic seawater or hyper-saline brine combined to achieve a salinity of 20 parts per _NEW_LINE_ thousand according to methods for measuring the acute toxicity of effluents and rec
8	salinity	2342	2350	113	ing, _NEW_LINE_ dilution water shall consist of synthetic seawater or hyper-saline brine combined to achieve a _NEW_LINE_ salinity of 20 parts per thousand according to methods for measuring the acute toxicity of _NEW_LINE_ effluents and rec
8	salinity	3180	3188	114	ing, dilution water shall _NEW_LINE_ consist of synthetic seawater or hyper-saline brine combined to achieve a salinity of 20 parts _NEW_LINE_ per thousand according to short-term methods for estimating the chronic toxicity of eff
9	chlorides	535	544	160	lowing concentrations at any time: _NEW_LINE_  _NEW_LINE_         from mississippi-tennessee border to vicksburg _NEW_LINE_  _NEW_LINE_         chlorides                                  60 mg/l _NEW_LINE_         sulfates                                  150 mg/l
8	sulfates	594	602	160	i-tennessee border to vicksburg _NEW_LINE_  _NEW_LINE_         chlorides                                  60 mg/l _NEW_LINE_         sulfates                                  150 mg/l _NEW_LINE_         tds                                       425 mg/
3	tds	653	656	160	                         60 mg/l _NEW_LINE_         sulfates                                  150 mg/l _NEW_LINE_         tds                                       425 mg/l _NEW_LINE_  _NEW_LINE_         from vicksburg south to the mississippi-lou
9	chlorides	779	788	160	                425 mg/l _NEW_LINE_  _NEW_LINE_         from vicksburg south to the mississippi-louisiana border _NEW_LINE_  _NEW_LINE_         chlorides                                  75 mg/l _NEW_LINE_         sulfates                                  120 mg/l
8	sulfates	838	846	160	he mississippi-louisiana border _NEW_LINE_  _NEW_LINE_         chlorides                                  75 mg/l _NEW_LINE_         sulfates                                  120 mg/l _NEW_LINE_         tds                                       400 mg/
3	tds	897	900	160	                         75 mg/l _NEW_LINE_         sulfates                                  120 mg/l _NEW_LINE_         tds                                       400 mg/l _NEW_LINE_  _NEW_LINE_ h.   mixing zones: it is recognized that limited ar
8	salinity	1694	1702	162	are of different _NEW_LINE_      densities. the density difference may be caused by variations of temperature, salinity, _NEW_LINE_      or concentrations of other dissolved substances within the water at different depths. _NEW_LINE_  _NEW_LINE_ (19) t
2	ph	1706	1708	164	from the water surface if the epilimnion depth is greater than 10 _NEW_LINE_                      feet. _NEW_LINE_  _NEW_LINE_ d.    ph: the normal ph of the waters shall be 6.0 to 9.0. the discharge of waters or _NEW_LINE_       wastewaters shou
2	ph	1721	1723	164	surface if the epilimnion depth is greater than 10 _NEW_LINE_                      feet. _NEW_LINE_  _NEW_LINE_ d.    ph: the normal ph of the waters shall be 6.0 to 9.0. the discharge of waters or _NEW_LINE_       wastewaters should not cause th
2	ph	2216	2218	164	eater ph change. in black water streams and in those _NEW_LINE_       watersheds with highly acidic soils, the ph may be lower than 6.0 due to natural _NEW_LINE_       conditions. _NEW_LINE_                                             
2	ph	1059	1061	172	ased on a ph dependent equation as found in quality _NEW_LINE_     criteria for water. values listed are for a ph of 7.0 s.u. _NEW_LINE_ d   site specific criteria for mississippi sound. _NEW_LINE_ e   parameter subject to water effect
6	aldrin	22	28	173	 _NEW_LINE_  _NEW_LINE_ acute: _NEW_LINE_  _NEW_LINE_ aldrin 3.0 μg/l _NEW_LINE_ 
9	ammonia f	38	47	173	 3.0 μg/l _NEW_LINE_ ammonia f _NEW_LINE_ arsenic (
7	arsenic	48	55	173	ammonia f _NEW_LINE_ arsenic (iii), to
7	arsenic	83	90	173	μg/l _NEW_LINE_ ammonia f _NEW_LINE_ arsenic (iii), total dissolved 340 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 1.03 _NEW_LINE_ ch
7	cadmium	108	115	173	ter: _NEW_LINE_  _NEW_LINE_ acute: _NEW_LINE_  _NEW_LINE_ aldrin 3.0 μg/l _NEW_LINE_ ammonia f _NEW_LINE_ arsenic (iii), total dissolved 340 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 1.03 _NEW_LINE_ chlordane 2.4 _NEW_LINE_ chlorine 19 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), 
9	chlordane	138	147	173	ammonia f _NEW_LINE_ arsenic (iii), total dissolved 340 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 1.03 _NEW_LINE_ chlordane 2.4 _NEW_LINE_ chlorine 19 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, tota
8	chlorine	152	160	173	nic (iii), total dissolved 340 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 1.03 _NEW_LINE_ chlordane 2.4 _NEW_LINE_ chlorine 19 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7
8	chromium	164	172	173	otal dissolved 340 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 1.03 _NEW_LINE_ chlordane 2.4 _NEW_LINE_ chlorine 19 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 2
8	chromium	199	207	173	issolved _NEW_LINE_ cadmium, total dissolved 1.03 _NEW_LINE_ chlordane 2.4 _NEW_LINE_ chlorine 19 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7
6	copper	235	241	173	03 _NEW_LINE_ chlordane 2.4 _NEW_LINE_ chlorine 19 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 
7	cyanide	263	270	173	 _NEW_LINE_ chromium (hex), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ end
7	4,4 ddt	276	283	173	x), total dissolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfa
8	dieldrin	288	296	173	ssolved 16 _NEW_LINE_ chromium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.0
12	2,3,7,8 tcdd	302	314	173	omium (iii), total dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52
6	dioxin	316	322	173	otal dissolved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh
16	alpha-endosulfan	324	340	173	solved 323 _NEW_LINE_ copper, total dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_ 
15	beta-endosulfan	346	361	173	al dissolved 7.0 _NEW_LINE_ cyanide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsen
10	endosulfan	367	377	173	ide 22.0 _NEW_LINE_ 4,4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total 
7	sulfate	378	385	173	4 ddt 1.1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolve
6	endrin	386	392	173	1 _NEW_LINE_ dieldrin 0.24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ a
10	heptachlor	399	409	173	24 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dis
6	aldrin	441	447	173	0.22 _NEW_LINE_ beta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ c
7	ammonia	448	455	173	ta-endosulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane
7	arsenic	456	463	173	ulfan 0.22 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ 
7	arsenic	491	498	173	n 0.086 _NEW_LINE_ heptachlor 0.52 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total d
7	cadmium	516	523	173	 _NEW_LINE_ fresh water: _NEW_LINE_  _NEW_LINE_ chronic: _NEW_LINE_  _NEW_LINE_ aldrin _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii
9	chlordane	546	555	173	n _NEW_LINE_ ammonia _NEW_LINE_ arsenic (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, to
8	chlorine	563	571	173	 (iii), total dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.
8	chromium	575	583	173	l dissolved 150 _NEW_LINE_ arsenic, total dissolved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.
8	chromium	610	618	173	olved _NEW_LINE_ cadmium, total dissolved 0.15 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,
6	copper	645	651	173	 _NEW_LINE_ chlordane 0.0043 _NEW_LINE_ chlorine 11 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfa
7	cyanide	673	680	173	1 _NEW_LINE_ chromium (hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.056 _NEW_LINE_ beta-endosulfan 0.056
7	4,4 ddt	685	692	173	hex), total dissolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.056 _NEW_LINE_ beta-endosulfan 0.056 _NEW_LINE_ endosulfan 
8	dieldrin	699	707	173	ssolved 11 _NEW_LINE_ chromium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.056 _NEW_LINE_ beta-endosulfan 0.056 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 
12	2,3,7,8 tcdd	714	726	173	mium (iii), total dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.056 _NEW_LINE_ beta-endosulfan 0.056 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.036 _NEW_LINE_ heptachlor 0.
6	dioxin	728	734	173	tal dissolved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.056 _NEW_LINE_ beta-endosulfan 0.056 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.036 _NEW_LINE_ heptachlor 0.0038 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ 
16	alpha-endosulfan	736	752	173	olved 42 _NEW_LINE_ copper, total dissolved 5.0 _NEW_LINE_ cyanide 5.2 _NEW_LINE_ 4,4 ddt 0.001 _NEW_LINE_ dieldrin 0.056 _NEW_LINE_ 2,3,7,8 tcdd (dioxin) _NEW_LINE_ alpha-endosulfan 0.056 _NEW_LINE_ beta-endosulfan 0.056 _NEW_LINE_ endosulfan sulfate _NEW_LINE_ endrin 0.036 _NEW_LINE_ heptachlor 0.0038 _NEW_LINE_  _NEW_LINE_  _NEW_LINE_  _NEW_LINE_ salt water: _NEW_LINE_ acute:
